sim_step,timestep,burned,burning,unburned,burn_rate,size
0,0,0,7,16377,7.0,16384
1,9,0,11,16373,1.1,16384
2,18,0,19,16365,1.0,16384
3,27,0,37,16347,1.3214285714285714,16384
4,36,0,59,16325,1.5945945945945945,16384
5,45,0,84,16300,1.826086956521739,16384
6,54,0,106,16278,1.9272727272727272,16384
7,63,0,128,16256,2.0,16384
8,72,0,151,16233,2.0684931506849313,16384
9,81,0,160,16224,1.951219512195122,16384
10,90,1,180,16203,1.989010989010989,16384
11,99,7,195,16182,2.02,16384
12,108,11,206,16167,1.9908256880733946,16384
13,117,19,214,16151,1.9745762711864407,16384
14,126,37,209,16138,1.937007874015748,16384
15,135,59,203,16122,1.9264705882352942,16384
16,144,84,197,16103,1.9379310344827587,16384
17,153,106,196,16082,1.9610389610389611,16384
18,162,128,209,16047,2.067484662576687,16384
19,171,151,209,16024,2.0930232558139537,16384
20,180,160,222,16002,2.110497237569061,16384
21,189,181,223,15980,2.126315789473684,16384
22,198,202,232,15950,2.180904522613065,16384
23,207,217,246,15921,2.2259615384615383,16384
24,216,233,253,15898,2.23963133640553,16384
25,225,246,268,15870,2.274336283185841,16384
26,234,262,278,15844,2.297872340425532,16384
27,243,281,297,15806,2.3688524590163933,16384
28,252,302,314,15768,2.4347826086956523,16384
29,261,337,309,15738,2.4656488549618323,16384
30,270,360,339,15685,2.5793357933579335,16384
31,279,382,370,15632,2.6857142857142855,16384
32,288,404,394,15586,2.7612456747404845,16384
33,297,434,411,15539,2.835570469798658,16384
34,306,463,427,15494,2.8990228013029316,16384
35,315,486,443,15455,2.939873417721519,16384
36,324,514,465,15405,3.0123076923076924,16384
37,333,540,491,15353,3.086826347305389,16384
38,342,578,508,15298,3.1661807580174925,16384
39,351,616,515,15253,3.2130681818181817,16384
40,360,646,521,15217,3.2326869806094183,16384
41,369,699,503,15182,3.2486486486486488,16384
42,378,752,497,15135,3.295514511873351,16384
43,387,798,487,15099,3.3118556701030926,16384
44,396,845,476,15063,3.327455919395466,16384
45,405,890,473,15021,3.357142857142857,16384
46,414,929,487,14968,3.4120481927710844,16384
47,423,979,499,14906,3.4858490566037736,16384
48,432,1031,511,14842,3.561200923787529,16384
49,441,1086,512,14786,3.6153846153846154,16384
50,450,1131,534,14719,3.6917960088691797,16384
51,459,1167,561,14656,3.756521739130435,16384
52,468,1202,605,14577,3.8528784648187635,16384
53,477,1249,626,14509,3.922594142259414,16384
54,486,1285,652,14447,3.97741273100616,16384
55,495,1321,681,14382,4.036290322580645,16384
56,504,1363,699,14322,4.083168316831683,16384
57,513,1416,699,14269,4.114785992217898,16384
58,522,1478,697,14209,4.1586998087954115,16384
59,531,1542,694,14148,4.203007518796992,16384
60,540,1598,708,14078,4.262476894639557,16384
61,549,1665,709,14010,4.316363636363636,16384
62,558,1728,738,13918,4.411449016100179,16384
63,567,1807,737,13840,4.47887323943662,16384
64,576,1875,744,13765,4.538994800693241,16384
65,585,1937,757,13690,4.597269624573379,16384
66,594,2002,769,13613,4.6571428571428575,16384
67,603,2062,798,13524,4.735099337748345,16384
68,612,2115,846,13423,4.830342577487765,16384
69,621,2175,880,13329,4.911575562700965,16384
70,630,2236,913,13235,4.990491283676704,16384
71,639,2306,936,13142,5.065625,16384
72,648,2374,950,13060,5.121725731895223,16384
73,657,2466,954,12964,5.197568389057751,16384
74,666,2544,982,12858,5.286356821589205,16384
75,675,2619,1004,12761,5.359467455621302,16384
76,684,2694,1017,12673,5.417518248175183,16384
77,693,2771,1027,12586,5.472622478386167,16384
78,702,2860,1049,12475,5.560455192034139,16384
79,711,2961,1046,12377,5.627808988764045,16384
80,720,3055,1048,12281,5.690707350901525,16384
81,729,3149,1045,12190,5.745205479452054,16384
82,738,3242,1049,12093,5.806495263870095,16384
83,747,3324,1059,12001,5.859625668449198,16384
84,756,3420,1065,11899,5.924702774108322,16384
85,765,3526,1057,11801,5.983028720626632,16384
86,774,3623,1061,11700,6.0438709677419356,16384
87,783,3711,1070,11603,6.098214285714286,16384
88,792,3798,1080,11506,6.151324085750315,16384
89,801,3909,1075,11400,6.214463840399002,16384
90,810,4007,1095,11282,6.290998766954377,16384
91,819,4103,1111,11170,6.3585365853658535,16384
92,828,4194,1134,11056,6.427020506634499,16384
93,837,4291,1161,10932,6.505966587112172,16384
94,846,4383,1193,10808,6.58323494687131,16384
95,855,4485,1201,10698,6.642523364485982,16384
96,864,4583,1212,10589,6.699421965317919,16384
97,873,4684,1200,10500,6.732265446224257,16384
98,882,4781,1196,10407,6.768969422423556,16384
99,891,4878,1202,10304,6.816143497757848,16384
100,900,4984,1201,10199,6.864594894561598,16384
101,909,5102,1191,10091,6.915384615384616,16384
102,918,5214,1203,9967,6.982589771490751,16384
103,927,5328,1248,9808,7.086206896551724,16384
104,936,5452,1259,9673,7.16221985058698,16384
105,945,5576,1270,9538,7.236786469344609,16384
106,954,5686,1285,9413,7.299476439790576,16384
107,963,5795,1308,9281,7.368257261410788,16384
108,972,5884,1331,9169,7.4152106885919835,16384
109,981,5977,1343,9064,7.454175152749491,16384
110,990,6080,1336,8968,7.48335015136226,16384
111,999,6185,1327,8872,7.512,16384
112,1008,6293,1321,8770,7.546085232903865,16384
113,1017,6417,1311,8656,7.591355599214145,16384
114,1026,6576,1298,8510,7.66699123661149,16384
115,1035,6711,1311,8362,7.743243243243243,16384
116,1044,6846,1305,8233,7.8,16384
117,1053,6971,1303,8110,7.850094876660341,16384
118,1062,7103,1324,7957,7.927563499529633,16384
119,1071,7215,1328,7841,7.969216417910448,16384
120,1080,7320,1341,7723,8.012025901942646,16384
121,1089,7416,1335,7633,8.028440366972477,16384
122,1098,7512,1354,7518,8.067333939945405,16384
123,1107,7614,1363,7407,8.101985559566787,16384
124,1116,7728,1372,7284,8.146821844225604,16384
125,1125,7874,1367,7143,8.206927175843694,16384
126,1134,8022,1384,6978,8.287224669603525,16384
127,1143,8151,1407,6826,8.354895104895105,16384
128,1152,8274,1474,6636,8.454466608846488,16384
129,1161,8427,1478,6479,8.524096385542169,16384
130,1170,8543,1511,6330,8.585824081981213,16384
131,1179,8661,1561,6162,8.662711864406779,16384
132,1188,8751,1644,5989,8.742640874684609,16384
133,1197,8866,1681,5837,8.803839732888147,16384
134,1206,8977,1739,5668,8.878210439105219,16384
135,1215,9100,1787,5497,8.953125,16384
136,1224,9241,1798,5345,9.01142857142857,16384
137,1233,9406,1814,5164,9.092382495948137,16384
138,1242,9558,1848,4978,9.176186645213194,16384
139,1251,9748,1822,4814,9.241214057507987,16384
140,1260,9905,1836,4643,9.31086439333862,16384
141,1269,10054,1858,4472,9.379527559055118,16384
142,1278,10222,1870,4292,9.45426114151681,16384
143,1287,10395,1831,4158,9.49223602484472,16384
144,1296,10547,1834,4003,9.545875096376253,16384
145,1305,10716,1790,3878,9.575803981623277,16384
146,1314,10887,1767,3730,9.622813688212927,16384
147,1323,11039,1762,3583,9.668429003021147,16384
148,1332,11220,1720,3444,9.707426856714179,16384
149,1341,11406,1671,3307,9.74441132637854,16384
150,1350,11570,1615,3199,9.759437453737972,16384
151,1359,11741,1542,3101,9.766911764705883,16384
152,1368,11912,1471,3001,9.775748721694667,16384
153,1377,12092,1400,2892,9.79100145137881,16384
154,1386,12226,1389,2769,9.816149963950974,16384
155,1395,12381,1348,2655,9.834527220630372,16384
156,1404,12506,1325,2553,9.844128113879004,16384
157,1413,12654,1291,2439,9.862093352192362,16384
158,1422,12801,1233,2350,9.862262825017568,16384
159,1431,12940,1186,2258,9.864525139664805,16384
160,1440,13077,1134,2173,9.861901457321304,16384
161,1449,13185,1118,2081,9.864137931034483,16384
162,1458,13283,1126,1975,9.875942426319396,16384
163,1467,13383,1108,1893,9.871253405994551,16384
164,1476,13492,1080,1812,9.865944482058227,16384
165,1485,13615,1030,1739,9.855316285329744,16384
166,1494,13729,992,1663,9.846822742474917,16384
167,1503,13831,974,1579,9.84375,16384
168,1512,13945,940,1499,9.838070059484467,16384
169,1521,14034,931,1419,9.83245729303548,16384
170,1530,14126,898,1360,9.81319399085565,16384
171,1539,14211,862,1311,9.787662337662338,16384
172,1548,14303,821,1260,9.763718528082634,16384
173,1557,14409,760,1215,9.73620025673941,16384
174,1566,14491,733,1160,9.715379706445438,16384
175,1575,14572,695,1117,9.687182741116752,16384
176,1584,14645,665,1074,9.659305993690852,16384
177,1593,14721,649,1014,9.642409033877039,16384
178,1602,14805,614,965,9.618839675608234,16384
179,1611,14885,592,907,9.601116625310175,16384
180,1620,14965,552,867,9.57248611967921,16384
181,1629,15024,531,829,9.542944785276074,16384
182,1638,15073,527,784,9.517998779743746,16384
183,1647,15124,524,736,9.495145631067961,16384
184,1656,15169,520,695,9.468316234158117,16384
185,1665,15224,500,660,9.438175270108044,16384
186,1674,15267,491,626,9.40776119402985,16384
187,1683,15310,484,590,9.378859857482185,16384
188,1692,15370,453,561,9.346131128174838,16384
189,1701,15419,430,535,9.311985898942421,16384
190,1710,15477,391,516,9.274108708357685,16384
191,1719,15517,374,493,9.238953488372093,16384
192,1728,15555,362,467,9.205899363794101,16384
193,1737,15600,352,432,9.178365937859608,16384
194,1746,15648,329,407,9.145392100744132,16384
195,1755,15689,308,387,9.10990888382688,16384
196,1764,15724,291,369,9.073654390934845,16384
197,1773,15758,263,363,9.031003382187148,16384
198,1782,15794,236,354,8.990465507571509,16384
199,1791,15823,215,346,8.949776785714286,16384
200,1800,15849,196,339,8.90893947806774,16384
201,1809,15868,183,333,8.867955801104973,16384
202,1818,15891,166,327,8.82737768004398,16384
203,1827,15917,143,324,8.785557986870897,16384
204,1836,15952,110,322,8.743603701687533,16384
205,1845,15977,87,320,8.702058504875406,16384
206,1854,15997,67,320,8.659838274932614,16384
207,1863,16015,49,320,8.618025751072961,16384
208,1872,16021,43,320,8.576615056059797,16384
209,1881,16030,34,320,8.535600425079702,16384
210,1890,16038,26,320,8.49497620306716,16384
211,1899,16045,19,320,8.454736842105262,16384
212,1908,16051,13,320,8.414876898899948,16384
213,1917,16057,7,320,8.37539103232534,16384
214,1926,16060,4,320,8.336274001037882,16384
215,1935,16062,2,320,8.297520661157025,16384
216,1944,16064,0,320,8.259125964010282,16384
