sim_step,timestep,burned,burning,unburned,burn_rate,size,mitigated,area_saved,burn_rate_reduction,bench_episode_length,timesteps_saved,area_saved_prop
0,0,0,7,16376,7.0,16384,1,15875,15876.0,636,636,0.9994963168167222
1,9,0,12,16368,1.2,16384,4,-9,-0.5,636,632,-0.01
2,18,0,17,16360,0.8947368421052632,16384,7,-12,-0.26315789473684215,636,628,-0.01
3,27,0,23,16351,0.8214285714285714,16384,10,-16,-0.2142857142857143,636,624,-0.01
4,36,0,30,16337,0.8108108108108109,16384,17,-24,-0.18918918918918926,636,620,-0.01
5,45,0,43,16323,0.9347826086956522,16384,18,-31,-0.28260869565217395,636,616,-0.01
6,54,0,63,16301,1.1454545454545455,16384,20,-40,-0.36363636363636365,636,612,-0.01
7,63,0,85,16276,1.328125,16384,23,-45,-0.34375,636,608,-0.01
8,72,0,114,16244,1.5616438356164384,16384,26,-55,-0.3972602739726028,636,604,-0.01
9,81,0,146,16207,1.7804878048780488,16384,31,-63,-0.3902439024390245,636,600,-0.01
10,90,1,178,16173,1.967032967032967,16384,32,-65,-0.36263736263736246,636,596,-0.01
11,99,7,206,16135,2.13,16384,36,-70,-0.33999999999999986,636,592,-0.01
12,108,12,246,16089,2.36697247706422,16384,37,-82,-0.4128440366972477,636,588,-0.01
13,117,17,296,16032,2.652542372881356,16384,39,-94,-0.4661016949152543,636,584,-0.01
14,126,23,345,15976,2.8976377952755907,16384,40,-95,-0.4330708661417324,636,580,-0.01
15,135,30,396,15916,3.1323529411764706,16384,42,-100,-0.42647058823529393,636,576,-0.01
16,144,43,443,15853,3.3517241379310345,16384,45,-105,-0.4137931034482758,636,572,-0.01
17,153,63,494,15779,3.616883116883117,16384,48,-119,-0.46103896103896114,636,568,-0.01
18,162,85,543,15705,3.852760736196319,16384,51,-122,-0.4355828220858897,636,564,-0.01
19,171,114,594,15623,4.116279069767442,16384,53,-133,-0.4651162790697678,636,560,-0.01
20,180,146,644,15540,4.3646408839779,16384,54,-136,-0.4530386740331491,636,556,-0.01
21,189,179,691,15460,4.578947368421052,16384,54,-134,-0.4210526315789469,636,552,-0.01
22,198,213,756,15361,4.869346733668341,16384,54,-153,-0.4974874371859297,636,548,-0.01
23,207,258,799,15272,5.081730769230769,16384,55,-143,-0.42307692307692335,636,544,-0.01
24,216,313,832,15184,5.276497695852535,16384,55,-143,-0.4055299539170507,636,540,-0.01
25,225,368,877,15084,5.508849557522124,16384,55,-155,-0.44247787610619493,636,536,-0.01
26,234,426,916,14985,5.7106382978723405,16384,57,-154,-0.41276595744680833,636,532,-0.01
27,243,486,970,14871,5.967213114754099,16384,57,-171,-0.46721311475409877,636,528,-0.01
28,252,557,1033,14734,6.284584980237154,16384,60,-194,-0.529644268774704,636,524,-0.01
29,261,628,1092,14601,6.564885496183206,16384,63,-193,-0.4961832061068705,636,520,-0.01
30,270,708,1125,14487,6.763837638376383,16384,64,-177,-0.4169741697416969,636,516,-0.01
31,279,790,1162,14366,6.9714285714285715,16384,66,-185,-0.4249999999999998,636,512,-0.01
32,288,870,1222,14224,7.2387543252595155,16384,68,-208,-0.48442906574394495,636,508,-0.01
33,297,969,1281,14065,7.550335570469799,16384,69,-227,-0.5302013422818792,636,504,-0.01
34,306,1057,1341,13914,7.811074918566775,16384,72,-220,-0.48208469055374614,636,500,-0.01
35,315,1145,1380,13786,7.9905063291139244,16384,73,-200,-0.401898734177216,636,496,-0.01
36,324,1245,1424,13641,8.212307692307693,16384,74,-218,-0.4430769230769238,636,492,-0.01
37,333,1342,1454,13514,8.37125748502994,16384,74,-201,-0.38023952095808333,636,488,-0.01
38,342,1456,1471,13382,8.533527696793003,16384,75,-206,-0.3819241982507293,636,484,-0.01
39,351,1590,1454,13262,8.647727272727273,16384,78,-195,-0.3323863636363651,636,480,-0.01
40,360,1720,1458,13124,8.803324099722992,16384,82,-216,-0.3711911357340725,636,476,-0.01
41,369,1833,1472,12996,8.932432432432432,16384,83,-210,-0.34324324324324174,636,472,-0.01
42,378,1952,1485,12860,9.068601583113457,16384,87,-219,-0.3482849604221645,636,468,-0.01
43,387,2092,1472,12733,9.185567010309278,16384,87,-214,-0.3273195876288657,636,464,-0.01
44,396,2250,1480,12565,9.395465994962217,16384,89,-255,-0.4181360201511346,636,460,-0.01
45,405,2398,1520,12374,9.650246305418719,16384,92,-280,-0.46305418719211744,636,456,-0.01
46,414,2525,1583,12180,9.898795180722892,16384,96,-286,-0.4578313253012052,636,452,-0.01
47,423,2669,1614,12003,10.101415094339623,16384,98,-273,-0.4127358490566042,636,448,-0.01
48,432,2796,1650,11835,10.267898383371824,16384,103,-266,-0.3764434180138565,636,444,-0.01
49,441,2927,1661,11692,10.380090497737557,16384,104,-246,-0.3212669683257925,636,440,-0.01
50,450,3044,1703,11531,10.52549889135255,16384,106,-265,-0.3525498891352541,636,436,-0.01
51,459,3178,1733,11365,10.67608695652174,16384,108,-272,-0.35652173913043583,636,432,-0.01
52,468,3305,1757,11214,10.793176972281449,16384,108,-259,-0.3219616204690823,636,428,-0.01
53,477,3437,1774,11063,10.901673640167363,16384,110,-259,-0.31171548117154657,636,424,-0.01
54,486,3564,1821,10887,11.057494866529774,16384,112,-286,-0.35728952772073974,636,420,-0.01
55,495,3730,1835,10706,11.21975806451613,16384,113,-292,-0.36088709677419395,636,416,-0.01
56,504,3918,1809,10541,11.340594059405941,16384,116,-276,-0.3168316831683171,636,412,-0.01
57,513,4108,1793,10366,11.480544747081712,16384,117,-288,-0.33268482490272433,636,408,-0.01
58,522,4283,1781,10203,11.594646271510516,16384,117,-275,-0.30210325047801234,636,404,-0.01
59,531,4446,1801,10019,11.742481203007518,16384,118,-295,-0.3327067669172923,636,400,-0.01
