sim_step,timestep,burned,burning,unburned,burn_rate,size
0,0,0,3,1021,3.0,1024
1,9,0,4,1020,0.4,1024
2,18,0,4,1020,0.21052631578947367,1024
3,27,0,4,1020,0.14285714285714285,1024
4,36,0,4,1020,0.10810810810810811,1024
5,45,0,4,1020,0.08695652173913043,1024
6,54,0,4,1020,0.07272727272727272,1024
7,63,0,4,1020,0.0625,1024
8,72,0,4,1020,0.0547945205479452,1024
9,81,0,4,1020,0.04878048780487805,1024
10,90,0,4,1020,0.04395604395604396,1024
11,99,0,4,1020,0.04,1024
12,108,0,4,1020,0.03669724770642202,1024
13,117,0,4,1020,0.03389830508474576,1024
14,126,0,4,1020,0.031496062992125984,1024
15,135,0,4,1020,0.029411764705882353,1024
16,144,0,4,1020,0.027586206896551724,1024
17,153,0,4,1020,0.025974025974025976,1024
18,162,0,4,1020,0.024539877300613498,1024
19,171,0,4,1020,0.023255813953488372,1024
20,180,0,4,1020,0.022099447513812154,1024
21,189,0,4,1020,0.021052631578947368,1024
22,198,0,4,1020,0.020100502512562814,1024
23,207,0,4,1020,0.019230769230769232,1024
24,216,0,4,1020,0.018433179723502304,1024
25,225,0,4,1020,0.017699115044247787,1024
26,234,0,4,1020,0.01702127659574468,1024
27,243,0,4,1020,0.01639344262295082,1024
28,252,0,4,1020,0.015810276679841896,1024
29,261,0,4,1020,0.015267175572519083,1024
30,270,0,4,1020,0.014760147601476014,1024
31,279,0,4,1020,0.014285714285714285,1024
32,288,0,4,1020,0.01384083044982699,1024
33,297,0,4,1020,0.013422818791946308,1024
34,306,0,4,1020,0.013029315960912053,1024
35,315,0,4,1020,0.012658227848101266,1024
36,324,0,4,1020,0.012307692307692308,1024
37,333,0,4,1020,0.011976047904191617,1024
38,342,0,4,1020,0.011661807580174927,1024
39,351,0,4,1020,0.011363636363636364,1024
40,360,0,4,1020,0.0110803324099723,1024
41,369,0,4,1020,0.010810810810810811,1024
42,378,0,4,1020,0.010554089709762533,1024
43,387,0,4,1020,0.010309278350515464,1024
44,396,0,4,1020,0.010075566750629723,1024
45,405,0,4,1020,0.009852216748768473,1024
46,414,0,4,1020,0.00963855421686747,1024
47,423,0,4,1020,0.009433962264150943,1024
48,432,0,4,1020,0.009237875288683603,1024
49,441,0,4,1020,0.00904977375565611,1024
50,450,0,4,1020,0.008869179600886918,1024
51,459,0,4,1020,0.008695652173913044,1024
52,468,0,4,1020,0.008528784648187633,1024
53,477,0,4,1020,0.008368200836820083,1024
54,486,0,4,1020,0.008213552361396304,1024
55,495,0,4,1020,0.008064516129032258,1024
56,504,0,4,1020,0.007920792079207921,1024
57,513,0,4,1020,0.007782101167315175,1024
58,522,0,4,1020,0.0076481835564053535,1024
59,531,0,4,1020,0.007518796992481203,1024
60,540,0,4,1020,0.0073937153419593345,1024
61,549,0,4,1020,0.007272727272727273,1024
62,558,0,4,1020,0.007155635062611807,1024
63,567,0,4,1020,0.007042253521126761,1024
64,576,0,4,1020,0.006932409012131715,1024
65,585,0,4,1020,0.006825938566552901,1024
66,594,0,4,1020,0.0067226890756302525,1024
67,603,0,4,1020,0.006622516556291391,1024
68,612,0,4,1020,0.0065252854812398045,1024
69,621,0,4,1020,0.006430868167202572,1024
70,630,0,4,1020,0.006339144215530904,1024
71,639,0,4,1020,0.00625,1024
72,648,0,4,1020,0.0061633281972265025,1024
73,657,0,4,1020,0.0060790273556231,1024
74,666,0,4,1020,0.005997001499250375,1024
75,675,0,4,1020,0.005917159763313609,1024
76,684,0,4,1020,0.00583941605839416,1024
77,693,0,4,1020,0.005763688760806916,1024
78,702,0,4,1020,0.005689900426742532,1024
79,711,0,4,1020,0.0056179775280898875,1024
80,720,0,4,1020,0.005547850208044383,1024
81,729,0,4,1020,0.005479452054794521,1024
82,738,0,4,1020,0.005412719891745603,1024
83,747,0,4,1020,0.0053475935828877,1024
84,756,0,4,1020,0.005284015852047556,1024
85,765,0,4,1020,0.005221932114882507,1024
86,774,0,4,1020,0.005161290322580645,1024
87,783,0,4,1020,0.00510204081632653,1024
88,792,0,4,1020,0.005044136191677175,1024
89,801,0,4,1020,0.004987531172069825,1024
90,810,0,4,1020,0.004932182490752158,1024
91,819,0,4,1020,0.004878048780487805,1024
92,828,0,4,1020,0.0048250904704463205,1024
93,837,0,4,1020,0.00477326968973747,1024
94,846,0,4,1020,0.004722550177095631,1024
95,855,0,4,1020,0.004672897196261682,1024
96,864,0,4,1020,0.004624277456647399,1024
97,873,0,4,1020,0.004576659038901602,1024
98,882,0,4,1020,0.004530011325028313,1024
99,891,0,4,1020,0.004484304932735426,1024
100,900,1,3,1020,0.004439511653718091,1024
101,909,3,1,1020,0.004395604395604396,1024
102,918,4,0,1020,0.004352557127312296,1024
