episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/num_faulty_episodes,evaluation/num_agent_steps_sampled_this_iter,evaluation/num_env_steps_sampled_this_iter,evaluation/timesteps_this_iter,evaluation/num_healthy_workers,evaluation/num_in_flight_async_reqs,evaluation/num_remote_worker_restarts,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,evaluation/sampler_results/episode_reward_max,evaluation/sampler_results/episode_reward_min,evaluation/sampler_results/episode_reward_mean,evaluation/sampler_results/episode_len_mean,evaluation/sampler_results/episodes_this_iter,evaluation/sampler_results/num_faulty_episodes,evaluation/hist_stats/episode_reward,evaluation/hist_stats/episode_lengths,evaluation/sampler_perf/mean_raw_obs_processing_ms,evaluation/sampler_perf/mean_inference_ms,evaluation/sampler_perf/mean_action_processing_ms,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_env_render_ms,evaluation/connector_metrics/ObsPreprocessorConnector_ms,evaluation/connector_metrics/StateBufferConnector_ms,evaluation/connector_metrics/ViewRequirementAgentConnector_ms,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,evaluation/sampler_results/hist_stats/episode_reward,evaluation/sampler_results/hist_stats/episode_lengths,evaluation/sampler_results/sampler_perf/mean_raw_obs_processing_ms,evaluation/sampler_results/sampler_perf/mean_inference_ms,evaluation/sampler_results/sampler_perf/mean_action_processing_ms,evaluation/sampler_results/sampler_perf/mean_env_wait_ms,evaluation/sampler_results/sampler_perf/mean_env_render_ms,evaluation/sampler_results/connector_metrics/ObsPreprocessorConnector_ms,evaluation/sampler_results/connector_metrics/StateBufferConnector_ms,evaluation/sampler_results/connector_metrics/ViewRequirementAgentConnector_ms,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,2,0,0,1052000,1052000,1052000,1052000,1000,1000,22.47771866041049,22.47771866041049,1052000,1000,1052000,False,0,1052,default,2026-09-22_15-08-59,1790069939,55.582111120224,55.582111120224,37,sandbox,127.0.0.1,55.582111120224,1,-59.35830000000088,-59.35830000000088,-59.35830000000088,919.0,1,0,919,919,919,1,0,0,1052000,1052000,1052000,1052000,nan,nan,nan,nan,0,0,[],[],44488.444,8062.037,775.918,1288.796,35644.734,28.055,5.143,1052000,1052000,1052000,1052000,52.97874999999999,61.35625,-59.35830000000088,-59.35830000000088,-59.35830000000088,919.0,1,0,[-59.35830000000088],[919],1.2870931107064951,7.6358287230781885,0.13142254041588824,1.2414312880972156,0.0,0.00820159912109375,0.005340576171875,0.18565654754638672,[],[],[-59.35830000000088],[919],1.2870931107064951,7.6358287230781885,0.13142254041588824,1.2414312880972156,0.0,0.00820159912109375,0.005340576171875,0.18565654754638672,128.0,105.5,104.5,0.0,36.23299286778174,7.4601413e-317,5.000000000000001e-05,3.890024122666745,0.28172660779119246,3.634613953175999,-0.0017781572682516915,0.07830580959715859,2.631642608415513,0.009999999999999998
-54.6075000000004,-58.110500000000755,-56.35900000000058,919.0,2,0,2,0,0,1053000,1053000,1053000,1053000,1000,1000,22.98142649599407,22.98142649599407,1053000,1000,1053000,False,2,1053,default,2026-09-22_15-09-43,1790069983,43.51815867424011,99.10026979446411,37,sandbox,127.0.0.1,99.10026979446411,2,,,,,,,,,,,,,1053000,1053000,1053000,1053000,-54.6075000000004,-58.110500000000755,-56.35900000000058,919.0,2,0,"[-54.6075000000004, -58.110500000000755]","[919, 919]",44000.895,7915.425,717.803,1393.14,35362.018,28.279,5.117,1053000,1053000,1053000,1053000,63.24754098360656,71.02131147540985,,,,,,,,,,,,,,,,,"[-54.6075000000004, -58.110500000000755]","[919, 919]",,,,,,,,,,,128.0,315.5,104.5,0.0,65.09220976602464,1.1190212e-316,5.000000000000001e-05,3.0298464207422167,0.27674512901409926,2.7792912656352633,-0.0033166615735916866,0.05697425411156105,2.618998658089411,0.009999999999999998
-54.6075000000004,-58.110500000000755,-56.35900000000058,919.0,0,0,2,0,0,1054000,1054000,1054000,1054000,1000,1000,23.545366294239912,23.545366294239912,1054000,1000,1054000,False,2,1054,default,2026-09-22_15-10-35,1790070035,52.11078381538391,151.21105360984802,37,sandbox,127.0.0.1,151.21105360984802,3,-38.858300000000305,-38.858300000000305,-38.858300000000305,919.0,1,0,919,919,919,1,0,0,1054000,1054000,1054000,1054000,-54.6075000000004,-58.110500000000755,-56.35900000000058,919.0,0,0,"[-54.6075000000004, -58.110500000000755]","[919, 919]",43490.988,7669.287,694.231,1440.443,35121.962,28.472,5.039,1054000,1054000,1054000,1054000,50.12266666666667,74.164,-38.858300000000305,-38.858300000000305,-38.858300000000305,919.0,1,0,[-38.858300000000305],[919],1.247753456534738,7.187821153326486,0.12596539014574626,1.120087891703653,0.0,0.00743865966796875,0.004506111145019531,0.1652240753173828,"[-54.6075000000004, -58.110500000000755]","[919, 919]",[-38.858300000000305],[919],1.247753456534738,7.187821153326486,0.12596539014574626,1.120087891703653,0.0,0.00743865966796875,0.004506111145019531,0.1652240753173828,128.0,525.5,104.5,0.0,77.89720075854234,1.6785318e-316,5.000000000000001e-05,2.0113026509682337,0.24949738220089956,1.7880090150095167,0.0011675911290305002,0.06583582028404968,2.6203754856472923,0.009999999999999998
-41.1098000000006,-65.35520000000062,-54.795750000000595,919.0,2,0,2,0,0,1055000,1055000,1055000,1055000,1000,1000,23.789406750568823,23.789406750568823,1055000,1000,1055000,False,4,1055,default,2026-09-22_15-11-17,1790070077,42.04120326042175,193.25225687026978,37,sandbox,127.0.0.1,193.25225687026978,4,,,,,,,,,,,,,1055000,1055000,1055000,1055000,-41.1098000000006,-65.35520000000062,-54.795750000000595,919.0,2,0,"[-54.6075000000004, -58.110500000000755, -41.1098000000006, -65.35520000000062]","[919, 919, 919, 919]",43127.108,7578.192,684.824,1460.23,34858.335,28.688,5.286,1055000,1055000,1055000,1055000,58.02372881355932,72.84576271186441,,,,,,,,,,,,,,,,,"[-54.6075000000004, -58.110500000000755, -41.1098000000006, -65.35520000000062]","[919, 919, 919, 919]",,,,,,,,,,,128.0,735.5,104.5,0.0,30.027447286017594,2.5177977e-316,5.000000000000001e-05,5.853813704138711,0.26363998899857205,5.615357733482406,-5.8882860910324823e-05,0.1396814258559842,2.518399665469215,0.009999999999999998
-41.1098000000006,-65.35520000000062,-54.795750000000595,919.0,0,0,2,0,0,1056000,1056000,1056000,1056000,1000,1000,23.023555891746103,23.023555891746103,1056000,1000,1056000,False,4,1056,default,2026-09-22_15-12-27,1790070147,69.9611930847168,263.2134499549866,37,sandbox,127.0.0.1,263.2134499549866,5,nan,nan,nan,nan,0,0,0,0,0,0,0,0,1056000,1056000,1056000,1056000,-41.1098000000006,-65.35520000000062,-54.795750000000595,919.0,0,0,"[-54.6075000000004, -58.110500000000755, -41.1098000000006, -65.35520000000062]","[919, 919, 919, 919]",43188.434,7475.717,674.292,1483.037,35032.747,28.545,5.219,1056000,1056000,1056000,1056000,43.87373737373738,74.56767676767677,nan,nan,nan,nan,0,0,[],[],,,,,,,,,"[-54.6075000000004, -58.110500000000755, -41.1098000000006, -65.35520000000062]","[919, 919, 919, 919]",[],[],,,,,,,,,128.0,945.5,104.5,0.0,49.01515811688843,3.7766966e-316,5.000000000000001e-05,1.8892873722882497,0.22668388443333762,1.6882639286063967,0.0001403076308114188,0.19356765984275137,2.5660433871405464,0.009999999999999998
-41.1098000000006,-65.35520000000062,-53.60906666666722,919.0,2,0,2,0,0,1057000,1057000,1057000,1057000,1000,1000,22.79000392248722,22.79000392248722,1057000,1000,1057000,False,6,1057,default,2026-09-22_15-13-11,1790070191,43.884196043014526,307.0976459980011,37,sandbox,127.0.0.1,307.0976459980011,6,,,,,,,,,,,,,1057000,1057000,1057000,1057000,-41.1098000000006,-65.35520000000062,-53.60906666666722,919.0,2,0,"[-54.6075000000004, -58.110500000000755, -41.1098000000006, -65.35520000000062, -51.35990000000053, -51.111500000000355]","[919, 919, 919, 919, 919, 919]",43303.504,7468.67,675.539,1480.3,35153.491,28.447,5.344,1057000,1057000,1057000,1057000,62.62096774193548,65.2274193548387,,,,,,,,,,,,,,,,,"[-54.6075000000004, -58.110500000000755, -41.1098000000006, -65.35520000000062, -51.35990000000053, -51.111500000000355]","[919, 919, 919, 919, 919, 919]",,,,,,,,,,,128.0,1155.5,104.5,0.0,46.14564941589322,5.6650449e-316,5.000000000000001e-05,3.006633359761465,0.25084269683630694,2.782132998676527,0.004976179486229306,0.1693997968892433,2.634234338714963,0.009999999999999998
-41.1098000000006,-65.35520000000062,-53.60906666666722,919.0,0,0,2,0,0,1058000,1058000,1058000,1058000,1000,1000,22.902004130667333,22.902004130667333,1058000,1000,1058000,False,6,1058,default,2026-09-22_15-13-55,1790070235,43.708820104599,350.8064661026001,37,sandbox,127.0.0.1,350.8064661026001,7,nan,nan,nan,nan,0,0,0,0,0,1,0,1,1058000,1058000,1058000,1058000,-41.1098000000006,-65.35520000000062,-53.60906666666722,919.0,0,0,"[-54.6075000000004, -58.110500000000755, -41.1098000000006, -65.35520000000062, -51.35990000000053, -51.111500000000355]","[919, 919, 919, 919, 919, 919]",43355.042,7476.142,672.712,1486.521,35200.477,28.409,5.266,1058000,1058000,1058000,1058000,63.160317460317465,66.63492063492063,nan,nan,nan,nan,0,0,[],[],,,,,,,,,"[-54.6075000000004, -58.110500000000755, -41.1098000000006, -65.35520000000062, -51.35990000000053, -51.111500000000355]","[919, 919, 919, 919, 919, 919]",[],[],,,,,,,,,128.0,1365.5,104.5,0.0,42.002202637990315,8.49756735e-316,5.000000000000001e-05,1.6328289450634093,0.27272682201915555,1.3853558297668185,-0.0005993669941311791,0.25375300955207447,2.5253707238606045,0.009999999999999998
-41.1098000000006,-65.35520000000062,-53.17172500000055,919.0,2,0,2,0,0,1059000,1059000,1059000,1059000,1000,1000,23.416038249721172,23.416038249721172,1059000,1000,1059000,False,8,1059,default,2026-09-22_15-14-38,1790070278,42.711511850357056,393.51797795295715,37,sandbox,127.0.0.1,393.51797795295715,8,,,,,,,,,,,,,1059000,1059000,1059000,1059000,-41.1098000000006,-65.35520000000062,-53.17172500000055,919.0,2,0,"[-54.6075000000004, -58.110500000000755, -41.1098000000006, -65.35520000000062, -51.35990000000053, -51.111500000000355, -55.10980000000071, -48.60960000000042]","[919, 919, 919, 919, 919, 919, 919, 919]",43273.879,7494.452,668.832,1495.144,35104.91,28.486,5.253,1059000,1059000,1059000,1059000,57.14499999999999,65.22833333333332,,,,,,,,,,,,,,,,,"[-54.6075000000004, -58.110500000000755, -41.1098000000006, -65.35520000000062, -51.35990000000053, -51.111500000000355, -55.10980000000071, -48.60960000000042]","[919, 919, 919, 919, 919, 919, 919, 919]",,,,,,,,,,,128.0,1575.5,104.5,0.0,43.300692976088754,1.274635103e-315,5.000000000000001e-05,2.0237181280340466,0.25393905773581493,1.7961165995824904,0.016999898921875728,0.21433289622191729,2.633751660301572,0.009999999999999998
-41.1098000000006,-65.35520000000062,-53.17172500000055,919.0,0,0,2,0,0,1060000,1060000,1060000,1060000,1000,1000,22.99622252740663,22.99622252740663,1060000,1000,1060000,False,8,1060,default,2026-09-22_15-15-32,1790070332,54.632895946502686,448.15087389945984,37,sandbox,127.0.0.1,448.15087389945984,9,-59.107100000000884,-59.107100000000884,-59.107100000000884,919.0,1,0,919,919,919,1,0,1,1060000,1060000,1060000,1060000,-41.1098000000006,-65.35520000000062,-53.17172500000055,919.0,0,0,"[-54.6075000000004, -58.110500000000755, -41.1098000000006, -65.35520000000062, -51.35990000000053, -51.111500000000355, -55.10980000000071, -48.60960000000042]","[919, 919, 919, 919, 919, 919, 919, 919]",43297.377,7490.155,668.91,1494.969,35132.658,28.464,5.23,1060000,1060000,1060000,1060000,48.63333333333334,66.16282051282052,-59.107100000000884,-59.107100000000884,-59.107100000000884,919.0,1,0,[-59.107100000000884],[919],1.236681316209876,7.922602995582248,0.12175466703331989,1.2270479098610256,0.0,0.009584426879882812,0.004792213439941406,0.17859935760498047,"[-54.6075000000004, -58.110500000000755, -41.1098000000006, -65.35520000000062, -51.35990000000053, -51.111500000000355, -55.10980000000071, -48.60960000000042]","[919, 919, 919, 919, 919, 919, 919, 919]",[-59.107100000000884],[919],1.236681316209876,7.922602995582248,0.12175466703331989,1.2270479098610256,0.0,0.009584426879882812,0.004792213439941406,0.17859935760498047,128.0,1785.5,104.5,0.0,53.203118967868036,1.911952657e-315,5.000000000000001e-05,1.5543612555378958,0.24578445528279103,1.3338639448796,-0.002351607879002889,0.19184707631701323,2.5287147760391235,0.009999999999999998
-25.038899999999945,-65.35520000000062,-49.8753909090914,864.1818181818181,3,0,2,0,0,1061000,1061000,1061000,1061000,1000,1000,22.601842670007343,22.601842670007343,1061000,1000,1061000,False,11,1061,default,2026-09-22_15-16-17,1790070377,44.249544858932495,492.40041875839233,37,sandbox,127.0.0.1,492.40041875839233,10,,,,,,,,,,,,,1061000,1061000,1061000,1061000,-25.038899999999945,-65.35520000000062,-49.8753909090914,864.1818181818181,3,0,"[-54.6075000000004, -58.110500000000755, -41.1098000000006, -65.35520000000062, -51.35990000000053, -51.111500000000355, -55.10980000000071, -48.60960000000042, -45.60790000000056, -25.038899999999945, -52.608700000000546]","[919, 919, 919, 919, 919, 919, 919, 919, 919, 316, 919]",43392.054,7505.662,668.497,1495.894,35212.281,28.399,5.197,1061000,1061000,1061000,1061000,60.836507936507935,73.44444444444443,,,,,,,,,,,,,,,,,"[-54.6075000000004, -58.110500000000755, -41.1098000000006, -65.35520000000062, -51.35990000000053, -51.111500000000355, -55.10980000000071, -48.60960000000042, -45.60790000000056, -25.038899999999945, -52.608700000000546]","[919, 919, 919, 919, 919, 919, 919, 919, 919, 316, 919]",,,,,,,,,,,128.0,1995.5,104.5,0.0,46.69506115445069,2.867928986e-315,5.000000000000001e-05,3.8397077344712756,0.2483976168469304,3.617050149894896,0.0020033353850955056,0.3822679912194026,2.574005497069586,0.009999999999999998
