episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,evaluation/num_faulty_episodes,evaluation/num_agent_steps_sampled_this_iter,evaluation/num_env_steps_sampled_this_iter,evaluation/timesteps_this_iter,evaluation/num_healthy_workers,evaluation/num_in_flight_async_reqs,evaluation/num_remote_worker_restarts,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,evaluation/sampler_results/episode_reward_max,evaluation/sampler_results/episode_reward_min,evaluation/sampler_results/episode_reward_mean,evaluation/sampler_results/episode_len_mean,evaluation/sampler_results/episodes_this_iter,evaluation/sampler_results/num_faulty_episodes,evaluation/hist_stats/episode_reward,evaluation/hist_stats/episode_lengths,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,evaluation/sampler_results/hist_stats/episode_reward,evaluation/sampler_results/hist_stats/episode_lengths,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,8,0,0,1052000,1052000,1052000,1052000,1000,1000,24.736141587385628,24.736141587385628,1052000,1000,1052000,False,0,1052,default,2026-09-22_17-05-15,1790076915,55.65361309051514,55.65361309051514,20848,hari-ASUS-TUF-Gaming-A15-FA506NFR-FA566NFR,192.168.220.243,55.65361309051514,1,nan,nan,nan,nan,0,0,0,0,0,0,0,0,1052000,1052000,1052000,1052000,nan,nan,nan,nan,0,0,[],[],40426.634,5212.908,1914.441,522.346,33274.376,30.053,24.28,1052000,1052000,1052000,1052000,41.483544303797466,88.98987341772153,nan,nan,nan,nan,0,0,[],[],[],[],[],[],128.0,105.5,104.5,0.0,12.942780542728446,7.4601413e-317,5.000000000000001e-05,3.9804784513655163,0.28498781908835685,3.720542010806856,0.0007002586410159156,0.2042126320434106,2.505137492361523,0.009999999999999998
nan,nan,nan,nan,0,0,8,0,0,1053000,1053000,1053000,1053000,1000,1000,25.070561132514282,25.070561132514282,1053000,1000,1053000,False,0,1053,default,2026-09-22_17-05-55,1790076955,39.89235329627991,95.54596638679504,20848,hari-ASUS-TUF-Gaming-A15-FA506NFR-FA566NFR,192.168.220.243,95.54596638679504,2,,,,,,,,,,,,,1053000,1053000,1053000,1053000,nan,nan,nan,nan,0,0,[],[],40157.005,5111.658,1372.857,728.408,33648.678,29.719,23.251,1053000,1053000,1053000,1053000,58.354385964912275,87.8298245614035,,,,,,,,,[],[],,,128.0,315.5,104.5,0.0,41.756277453899386,1.1190212e-316,5.000000000000001e-05,2.623212704630125,0.22864783822691867,2.4193016280730566,0.0011739915325528099,0.2051063049706586,2.4736754542305355,0.009999999999999998
nan,nan,nan,nan,0,0,8,0,0,1054000,1054000,1054000,1054000,1000,1000,25.419757412000983,25.419757412000983,1054000,1000,1054000,False,0,1054,default,2026-09-22_17-06-34,1790076994,39.51602005958557,135.06198644638062,20848,hari-ASUS-TUF-Gaming-A15-FA506NFR-FA566NFR,192.168.220.243,135.06198644638062,3,nan,nan,nan,nan,0,0,0,0,0,1,0,1,1054000,1054000,1054000,1054000,nan,nan,nan,nan,0,0,[],[],39884.483,5077.658,1143.779,874.295,33639.271,29.727,23.261,1054000,1054000,1054000,1054000,61.810526315789474,86.38771929824561,nan,nan,nan,nan,0,0,[],[],[],[],[],[],128.0,525.5,104.5,0.0,47.85658687750499,1.6785318e-316,5.000000000000001e-05,1.759741548555238,0.21320937280321406,1.5720068312826612,0.020806340376536052,0.20769444339176907,2.5474652097338724,0.009999999999999998
nan,nan,nan,nan,0,0,8,0,0,1055000,1055000,1055000,1055000,1000,1000,24.945581654781122,24.945581654781122,1055000,1000,1055000,False,0,1055,default,2026-09-22_17-07-15,1790077035,40.103254079818726,175.16524052619934,20848,hari-ASUS-TUF-Gaming-A15-FA506NFR-FA566NFR,192.168.220.243,175.16524052619934,4,,,,,,,,,,,,,1055000,1055000,1055000,1055000,nan,nan,nan,nan,0,0,[],[],39935.169,5046.871,1168.737,855.624,33696.05,29.677,23.029,1055000,1055000,1055000,1055000,59.26315789473685,84.21403508771931,,,,,,,,,[],[],,,128.0,735.5,104.5,0.0,38.95920447536877,2.5177977e-316,5.000000000000001e-05,1.8627313117541018,0.2665872321685865,1.6213239581102417,0.027273216134025936,0.11511028001994073,2.517986528078715,0.009999999999999998
nan,nan,nan,nan,0,0,8,0,0,1056000,1056000,1056000,1056000,1000,1000,25.953207246684457,25.953207246684457,1056000,1000,1056000,False,0,1056,default,2026-09-22_17-08-09,1790077089,54.33209705352783,229.49733757972717,20848,hari-ASUS-TUF-Gaming-A15-FA506NFR-FA566NFR,192.168.220.243,229.49733757972717,5,nan,nan,nan,nan,0,0,0,0,0,0,0,1,1056000,1056000,1056000,1056000,nan,nan,nan,nan,0,0,[],[],39654.306,4999.831,1065.081,938.896,33565.76,29.792,23.184,1056000,1056000,1056000,1056000,44.28181818181819,83.4116883116883,nan,nan,nan,nan,0,0,[],[],[],[],[],[],128.0,945.5,104.5,0.0,22.154046414012,3.7766966e-316,5.000000000000001e-05,0.9590508648327418,0.29502108066254074,0.6897494257915587,0.031119633004778907,0.2621186631620817,2.5719651006516955,0.009999999999999998
nan,nan,nan,nan,0,0,8,0,0,1057000,1057000,1057000,1057000,1000,1000,25.861522116867555,25.861522116867555,1057000,1000,1057000,False,0,1057,default,2026-09-22_17-08-48,1790077128,38.67217803001404,268.1695156097412,20848,hari-ASUS-TUF-Gaming-A15-FA506NFR-FA566NFR,192.168.220.243,268.1695156097412,6,,,,,,,,,,,,,1057000,1057000,1057000,1057000,nan,nan,nan,nan,0,0,[],[],39489.829,5055.909,1007.294,992.759,33403.016,29.937,23.163,1057000,1057000,1057000,1057000,59.765454545454546,82.58363636363637,,,,,,,,,[],[],,,128.0,1155.5,104.5,0.0,56.74025534050805,5.6650449e-316,5.000000000000001e-05,1.723608465705599,0.28731693267556174,1.4628327694677172,0.08183200018746513,0.07919883748427743,2.6541237672170004,0.009999999999999998
nan,nan,nan,nan,0,0,8,0,0,1058000,1058000,1058000,1058000,1000,1000,25.470368355051363,25.470368355051363,1058000,1000,1058000,False,0,1058,default,2026-09-22_17-09-27,1790077167,39.29781723022461,307.4673328399658,20848,hari-ASUS-TUF-Gaming-A15-FA506NFR-FA566NFR,192.168.220.243,307.4673328399658,7,nan,nan,nan,nan,0,0,0,0,0,1,0,2,1058000,1058000,1058000,1058000,nan,nan,nan,nan,0,0,[],[],39457.176,4996.278,957.523,1044.361,33479.788,29.869,23.15,1058000,1058000,1058000,1058000,56.994642857142864,82.91250000000001,nan,nan,nan,nan,0,0,[],[],[],[],[],[],128.0,1365.5,104.5,0.0,36.47892539841788,8.49756735e-316,5.000000000000001e-05,0.9252868632475535,0.2899875733735306,0.661930018095743,0.13859629176911853,0.005882865761218238,2.663071818578811,0.009999999999999998
-36.86039999999999,-70.85230000000062,-53.85812857142907,919.0,7,0,8,0,0,1059000,1059000,1059000,1059000,1000,1000,25.797757350805405,25.797757350805405,1059000,1000,1059000,False,7,1059,default,2026-09-22_17-10-06,1790077206,38.77056097984314,346.23789381980896,20848,hari-ASUS-TUF-Gaming-A15-FA506NFR-FA566NFR,192.168.220.243,346.23789381980896,8,,,,,,,,,,,,,1059000,1059000,1059000,1059000,-36.86039999999999,-70.85230000000062,-53.85812857142907,919.0,7,0,"[-54.6073000000004, -60.360000000000746, -40.857900000000214, -54.857600000000666, -36.86039999999999, -70.85230000000062, -58.611400000000884]","[919, 919, 919, 919, 919, 919, 919]",39370.407,4970.121,921.111,1085.646,33455.545,29.89,23.191,1059000,1059000,1059000,1059000,57.64181818181819,83.02727272727272,,,,,,,,,"[-54.6073000000004, -60.360000000000746, -40.857900000000214, -54.857600000000666, -36.86039999999999, -70.85230000000062, -58.611400000000884]","[919, 919, 919, 919, 919, 919, 919]",,,128.0,1575.5,104.5,0.0,17.891328752608526,8.49756735e-316,5.000000000000001e-05,3.6622488634926933,0.27149238834778466,3.4174928511892047,-0.1685435141835894,0.03161358062019904,2.673636177607945,0.009999999999999998
-36.86039999999999,-70.85230000000062,-53.85812857142907,919.0,0,0,8,0,0,1060000,1060000,1060000,1060000,1000,1000,25.441438686843302,25.441438686843302,1060000,1000,1060000,False,7,1060,default,2026-09-22_17-11-00,1790077260,54.273624658584595,400.51151847839355,20848,hari-ASUS-TUF-Gaming-A15-FA506NFR-FA566NFR,192.168.220.243,400.51151847839355,9,nan,nan,nan,nan,0,0,0,0,0,0,0,2,1060000,1060000,1060000,1060000,-36.86039999999999,-70.85230000000062,-53.85812857142907,919.0,0,0,"[-54.6073000000004, -60.360000000000746, -40.857900000000214, -54.857600000000666, -36.86039999999999, -70.85230000000062, -58.611400000000884]","[919, 919, 919, 919, 919, 919, 919]",39363.241,4949.575,890.926,1122.427,33498.592,29.852,23.716,1060000,1060000,1060000,1060000,45.175324675324674,82.88311688311688,nan,nan,nan,nan,0,0,[],[],"[-54.6073000000004, -60.360000000000746, -40.857900000000214, -54.857600000000666, -36.86039999999999, -70.85230000000062, -58.611400000000884]","[919, 919, 919, 919, 919, 919, 919]",[],[],128.0,1785.5,104.5,0.0,56.7566180901868,1.274635103e-315,5.000000000000001e-05,1.7547649199054354,0.2771740924844164,1.504232278040477,-0.04058886000088283,0.038655064064022596,2.664144494420006,0.009999999999999998
-36.86039999999999,-70.85230000000062,-55.07968750000059,944.875,1,0,8,0,0,1061000,1061000,1061000,1061000,1000,1000,24.363234540394348,24.363234540394348,1061000,1000,1061000,False,8,1061,default,2026-09-22_17-11-41,1790077301,41.05037331581116,441.5618917942047,20848,hari-ASUS-TUF-Gaming-A15-FA506NFR-FA566NFR,192.168.220.243,441.5618917942047,10,,,,,,,,,,,,,1061000,1061000,1061000,1061000,-36.86039999999999,-70.85230000000062,-55.07968750000059,944.875,1,0,"[-54.6073000000004, -60.360000000000746, -40.857900000000214, -54.857600000000666, -36.86039999999999, -70.85230000000062, -58.611400000000884, -63.63060000000118]","[919, 919, 919, 919, 919, 919, 919, 1126]",39531.458,4952.272,868.622,1151.248,33686.54,29.685,23.59,1061000,1061000,1061000,1061000,56.254237288135585,83.42203389830509,,,,,,,,,"[-54.6073000000004, -60.360000000000746, -40.857900000000214, -54.857600000000666, -36.86039999999999, -70.85230000000062, -58.611400000000884, -63.63060000000118]","[919, 919, 919, 919, 919, 919, 919, 1126]",,,128.0,1995.5,104.5,0.0,43.39139544708388,1.911952657e-315,5.000000000000001e-05,1.8673587330750057,0.2208239459587882,1.6722274882452828,-0.00954125580333528,0.11930056625417257,2.5692692427408126,0.009999999999999998
